Descrizione;Indice PC;Ubicazione;Distanza da costa;Pendenza fondali limitrofi;Potenziale tsunamigenico;Classificazione Finale;
Sciara del Fuoco;F16_PC1;Stromboli;3;1;6;10;
Frane Porto di Messina;F34_PC1;Messina;3;1;6;10;
Frana a Sud di Scauri;F30_PC1;Pantelleria;3;0.5;6;9.5;
Frana multipla tra Punta Cavazzi e Punta dell?Arpa.;F26_PC2;Ustica;1.5;0.5;6;8;
Frana singola offshore meridionale;F26_PC3;Ustica;1.5;0.5;6;8;
Instabilit… fianchi di Filicudi;F19_PC3;Filicudi;0;1;6;7;
Frana settore meridionale;F31_PC1;Capo Passero;0;1;6;7;
Frana NO Capri;F8_PC3;Capri;3;1;3;7;
Area ad erosione diffusa;F26_PC4;Ustica;3;0.5;3;6.5;
Nicchie di distacco Capo Colonna;F39_PC2;Crotone;0;0.5;6;6.5;
Frana di Portofino;F3_PC2;Portofino;0;0;6;6;
Frana di Portofino;F4_PC1;Portofino;0;0;6;6;
Frane tra Lacco Ameno e Casamicciola;F7_PC1;Ischia;3;0;3;6;
Frana di Meta;F8_PC2;Sorrento;3;0;3;6;
Aree in erosione Pizzillo/Scari;F16_PC3;Stromboli;3;0.5;0;3.5;
Frana significativa Priola;F25_PC1;Palermo;0;0.5;3;3.5;
Frana a sud del vulcano ;F29_PC3;Vulcano Palinuro;0;0.5;3;3.5;
Instabilit… di Fondo Canyon Gioiosa;F36_PC1;Siderno;0;0.5;3;3.5;* potenziale tsunamigenico non calcolabile, quindi si è assunto come valore di classifazione quello intermedio
Frane Punta La Guardia;F5_PC4;Ponza;3;0.5;0;3.5;
Frana di Gondola;F53_PC2;Gargano;0;0.5;3;3.5;
Frana significativa 1 settore centrale;F60_PC4;Cagliari;0;0.5;3;3.5;
Frana significativa 3 settore meridionale;F60_PC8;Cagliari;0;0.5;3;3.5;
Frana significativa 4 settore meridionale;F60_PC9;Cagliari;0;0.5;3;3.5;
Frana Maronti;F7_PC3;Ischia;3;0.5;0;3.5;
Crolli di Falesia da Positano a Capo Conca;F8_PC7;Costiera Amalfitana;3;0.5;0;3.5;
Crolli di Falesia da Positano a Capo Conca;F8_PC7;Costiera Amalfitana;3;0.5;0;3.5;
Instabilit… erosiva;F46_PC1;Gallipoli;0;0;3;3;
Frana a NE di Ventotene;F6_PC1;Ventotene;0;0;3;3;
Scarpata in arretramento settore centrale;F60_PC3;Cagliari;0;0;3;3;
Frana significativa 2 settore centrale;F60_PC5;Cagliari;0;0;3;3;
Frane significative;F62_PC4;San Antioco;0;0;3;3;
Frana SO Capri;F8_PC4;Capri;3;0;0;3;
Cumuli Frana Ieranto;F8_PC5;Penisola Sorrentina;3;0;0;3;
Crolli di Falesia da Positano a Capo Conca;F8_PC7;Costiera Amalfitana;1.5;0.5;0;2;
Frane Scarpata Nizza;F0_PC3;Nizza;0;1;0;1;
Frane diffuse Punta Imperatore.;F7_PC2;Ischia;1.5;0;0;1.5;
Frane Scarpata Sanremo;F1_PC4;Sanremo;0;0.5;0;0.5;
Frane Scarpata Sanremo;F1_PC5;Sanremo;0;0.5;0;0.5;
Frane NO;F23_PC4;Santa Agata di Militello;0;0.5;0;0.5;
Nicchia di frana;F44_PC_7;Porto San Cesareo;0;0.5;0;0.5;
Frana Licosa;F10_PC1;Cilento;0;0;0;0;
Frana di Acciaroli;F10_PC3;Cilento;0;0;0;0;
Frana di Palinuro;F10_PC4;Cilento;0;0;0;0;
Frane Capo Vaticano;F15_PC4;Gioia;0;0;0;0;
Nicchie di Frana;F17_PC1;Milazzo;0;0;0;0;
Frana di Taranto;F43_PC1;Taranto;0;0;0;0;
Scarpata di frana;F44_PC_4;Porto San Cesareo;0;0;0;0;
Nicchia di frana;F44_PC_6;Porto San Cesareo;0;0;0;0;
Nicchia di frana;F44_PC_8;Porto San Cesareo;0;0;0;0;
Scarpata in frana e Canyon di Tricase;F48_PC1;S Maria di Leuca;0;0;0;0;
Frane Punta La Guardia;F5_PC5;Ponza;0;0;0;0;
Frana di Vieste;F54_PC1;Gargano;0;0;0;0;
Frana Est di Vieste;F54_PC2;Gargano;0;0;0;0;
Frane Seamount Ichnusa;F59_PC8;Villasimius;0;0;0;0;
Frane Seamount Ichnusa;F59_PC9;Villasimius;0;0;0;0;
Frana significativa settore centrale;F61_PC5;Capo Teulada;0;0;0;0;
Frana significativa settore centrale;F61_PC6;Capo Teulada;0;0;0;0;
Frane Stretto di Fornelli;F69_PC1;Porto Torres;0;0;0;0;
Frana Canyon Castelsardo;F71_PC2;Porto Torres;0;0;0;0;
Frana Poseidonia;F8_PC8;Cilento;0;0;0;0;
Frana Capo d?Orso;F9_PC2;Cilento;0;0;0;0;
Frana Poseidonia;F9_PC3;Cilentp;0;0;0;0;
